participantId,sessionStart,sessionEnd,timestamp,type,targetTag,targetId,targetClass,x,y,key
User_1781526194001_241,1781526194001,1781526746777,1781526199412,click,LI,card-trocar-local,active-link,720,366,
User_1781526194001_241,1781526194001,1781526746777,1781526200355,click,DIV,opcao-local,tipo-opcao selected,720,366,
User_1781526194001_241,1781526194001,1781526746777,1781526201095,click,BUTTON,btn-continuar-tipo,btn-continuar-tipo,720,441,
User_1781526194001_241,1781526194001,1781526746777,1781526204192,click,BUTTON,btn-entrar-auth,btn-accent,1041,447,
User_1781526194001_241,1781526194001,1781526746777,1781526229919,click,INPUT,input-identificacao,form-control,460,280,
User_1781526194001_241,1781526194001,1781526746777,1781526230108,keydown,INPUT,input-identificacao,form-control,,,Control
User_1781526194001_241,1781526194001,1781526746777,1781526230445,keydown,INPUT,input-identificacao,form-control,,,V
User_1781526194001_241,1781526194001,1781526746777,1781526240276,click,INPUT,input-nascimento,form-control,796,280,
User_1781526194001_241,1781526194001,1781526746777,1781526241157,keydown,INPUT,input-nascimento,form-control,,,1
User_1781526194001_241,1781526194001,1781526746777,1781526241341,keydown,INPUT,input-nascimento,form-control,,,0
User_1781526194001_241,1781526194001,1781526746777,1781526242145,keydown,INPUT,input-nascimento,form-control,,,0
User_1781526194001_241,1781526194001,1781526746777,1781526242614,keydown,INPUT,input-nascimento,form-control,,,3
User_1781526194001_241,1781526194001,1781526746777,1781526243819,keydown,INPUT,input-nascimento,form-control,,,2
User_1781526194001_241,1781526194001,1781526746777,1781526244034,keydown,INPUT,input-nascimento,form-control,,,0
User_1781526194001_241,1781526194001,1781526746777,1781526244186,keydown,INPUT,input-nascimento,form-control,,,0
User_1781526194001_241,1781526194001,1781526746777,1781526244491,keydown,INPUT,input-nascimento,form-control,,,4
User_1781526194001_241,1781526194001,1781526746777,1781526324786,click,BUTTON,btn-entrar-auth,btn-accent,1051,507,
User_1781526194001_241,1781526194001,1781526746777,1781526326707,click,INPUT,input-mae,form-control,622,406,
User_1781526194001_241,1781526194001,1781526746777,1781526327706,keydown,INPUT,input-mae,form-control,,,Shift
User_1781526194001_241,1781526194001,1781526746777,1781526328646,keydown,INPUT,input-mae,form-control,,,a
User_1781526194001_241,1781526194001,1781526746777,1781526328795,keydown,INPUT,input-mae,form-control,,,m
User_1781526194001_241,1781526194001,1781526746777,1781526329757,keydown,INPUT,input-mae,form-control,,,Backspace
User_1781526194001_241,1781526194001,1781526746777,1781526329937,keydown,INPUT,input-mae,form-control,,,Backspace
User_1781526194001_241,1781526194001,1781526746777,1781526330571,keydown,INPUT,input-mae,form-control,,,M
User_1781526194001_241,1781526194001,1781526746777,1781526330661,keydown,INPUT,input-mae,form-control,,,A
User_1781526194001_241,1781526194001,1781526746777,1781526330969,keydown,INPUT,input-mae,form-control,,,R
User_1781526194001_241,1781526194001,1781526746777,1781526331119,keydown,INPUT,input-mae,form-control,,,I
User_1781526194001_241,1781526194001,1781526746777,1781526331665,keydown,INPUT,input-mae,form-control,,,O
User_1781526194001_241,1781526194001,1781526746777,1781526332208,keydown,INPUT,input-mae,form-control,,, 
User_1781526194001_241,1781526194001,1781526746777,1781526332628,keydown,INPUT,input-mae,form-control,,,S
User_1781526194001_241,1781526194001,1781526746777,1781526332823,keydown,INPUT,input-mae,form-control,,,I
User_1781526194001_241,1781526194001,1781526746777,1781526333423,keydown,INPUT,input-mae,form-control,,,L
User_1781526194001_241,1781526194001,1781526746777,1781526333741,keydown,INPUT,input-mae,form-control,,,V
User_1781526194001_241,1781526194001,1781526746777,1781526333821,keydown,INPUT,input-mae,form-control,,,A
User_1781526194001_241,1781526194001,1781526746777,1781526335841,click,INPUT,input-pai,form-control,826,412,
User_1781526194001_241,1781526194001,1781526746777,1781526336258,keydown,INPUT,input-pai,form-control,,,M
User_1781526194001_241,1781526194001,1781526746777,1781526336340,keydown,INPUT,input-pai,form-control,,,A
User_1781526194001_241,1781526194001,1781526746777,1781526336629,keydown,INPUT,input-pai,form-control,,,R
User_1781526194001_241,1781526194001,1781526746777,1781526337080,keydown,INPUT,input-pai,form-control,,,I
User_1781526194001_241,1781526194001,1781526746777,1781526337209,keydown,INPUT,input-pai,form-control,,,O
User_1781526194001_241,1781526194001,1781526746777,1781526337950,keydown,INPUT,input-pai,form-control,,,S
User_1781526194001_241,1781526194001,1781526746777,1781526338223,keydown,INPUT,input-pai,form-control,,,I
User_1781526194001_241,1781526194001,1781526746777,1781526338413,keydown,INPUT,input-pai,form-control,,,L
User_1781526194001_241,1781526194001,1781526746777,1781526338733,keydown,INPUT,input-pai,form-control,,,V
User_1781526194001_241,1781526194001,1781526746777,1781526338803,keydown,INPUT,input-pai,form-control,,,A
