participantId,sessionStart,sessionEnd,timestamp,type,targetTag,targetId,targetClass,x,y,key
User_1781533036831_176,1781533036831,1781533175293,1781533128056,click,BUTTON,btn-proximo-1,btn-accent,1396,854,
User_1781533036831_176,1781533036831,1781533175293,1781533131401,click,INPUT,,,595,424,
User_1781533036831_176,1781533036831,1781533175293,1781533132728,click,BUTTON,btn-proximo-2,btn-accent,1371,855,
User_1781533036831_176,1781533036831,1781533175293,1781533134105,click,INPUT,input-profissao,form-control,931,418,
User_1781533036831_176,1781533036831,1781533175293,1781533137432,keydown,INPUT,input-profissao,form-control,,,e
User_1781533036831_176,1781533036831,1781533175293,1781533138350,keydown,INPUT,input-profissao,form-control,,,Backspace
User_1781533036831_176,1781533036831,1781533175293,1781533138542,keydown,INPUT,input-profissao,form-control,,,Shift
User_1781533036831_176,1781533036831,1781533175293,1781533138801,keydown,INPUT,input-profissao,form-control,,,E
User_1781533036831_176,1781533036831,1781533175293,1781533139093,keydown,INPUT,input-profissao,form-control,,,s
User_1781533036831_176,1781533036831,1781533175293,1781533139244,keydown,INPUT,input-profissao,form-control,,,t
User_1781533036831_176,1781533036831,1781533175293,1781533139529,keydown,INPUT,input-profissao,form-control,,,u
User_1781533036831_176,1781533036831,1781533175293,1781533139719,keydown,INPUT,input-profissao,form-control,,,d
User_1781533036831_176,1781533036831,1781533175293,1781533139921,keydown,INPUT,input-profissao,form-control,,,a
User_1781533036831_176,1781533036831,1781533175293,1781533140063,keydown,INPUT,input-profissao,form-control,,,n
User_1781533036831_176,1781533036831,1781533175293,1781533140315,keydown,INPUT,input-profissao,form-control,,,t
User_1781533036831_176,1781533036831,1781533175293,1781533140432,keydown,INPUT,input-profissao,form-control,,,e
User_1781533036831_176,1781533036831,1781533175293,1781533141643,click,SELECT,select-instrucao,form-control,0,0,
User_1781533036831_176,1781533036831,1781533175293,1781533142719,click,OPTION,,,0,0,
User_1781533036831_176,1781533036831,1781533175293,1781533146035,click,BUTTON,btn-proximo-3,btn-accent,1382,582,
User_1781533036831_176,1781533036831,1781533175293,1781533147435,click,INPUT,input-telefone,form-control,872,412,
User_1781533036831_176,1781533036831,1781533175293,1781533147615,click,INPUT,input-telefone,form-control,872,412,
User_1781533036831_176,1781533036831,1781533175293,1781533148959,click,I,,fas fa-question,1949,993,
User_1781533036831_176,1781533036831,1781533175293,1781533152259,click,CODE,,,954,747,
User_1781533036831_176,1781533036831,1781533175293,1781533154316,click,BUTTON,btn-fechar-ajuda,btn-accent,1181,946,
