participantId,sessionStart,sessionEnd,timestamp,type,targetTag,targetId,targetClass,x,y,key
User_1781531758929_426,1781531758929,1781532118946,1781531761510,click,LI,card-trocar-local,active-link,609,334,
User_1781531758929_426,1781531758929,1781532118946,1781531762575,click,DIV,opcao-local,tipo-opcao selected,736,323,
User_1781531758929_426,1781531758929,1781532118946,1781531763616,click,BUTTON,btn-continuar-tipo,btn-continuar-tipo,795,457,
User_1781531758929_426,1781531758929,1781532118946,1781531768648,click,BUTTON,btn-ajuda-flutuante,,1429,504,
User_1781531758929_426,1781531758929,1781532118946,1781531860656,click,BUTTON,btn-close-ajuda,btn-close,983,65,
User_1781531758929_426,1781531758929,1781532118946,1781531867771,click,BUTTON,btn-etitulo,btn-etitulo,690,419,
User_1781531758929_426,1781531758929,1781532118946,1781531875612,click,BUTTON,btn-ajuda-flutuante,,1430,501,
User_1781531758929_426,1781531758929,1781532118946,1781531880251,click,TR,,,663,227,
User_1781531758929_426,1781531758929,1781532118946,1781531882622,click,BUTTON,btn-fechar-ajuda,btn-accent,866,506,
User_1781531758929_426,1781531758929,1781532118946,1781531883836,click,INPUT,input-identificacao,form-control,672,221,
User_1781531758929_426,1781531758929,1781532118946,1781531883921,keydown,INPUT,input-identificacao,form-control,,,Control
User_1781531758929_426,1781531758929,1781532118946,1781531884594,keydown,INPUT,input-identificacao,form-control,,,v
User_1781531758929_426,1781531758929,1781532118946,1781531888106,click,BUTTON,btn-ajuda-flutuante,,1437,511,
User_1781531758929_426,1781531758929,1781532118946,1781531890659,click,DIV,modal-ajuda,modal-overlay hidden,1037,298,
User_1781531758929_426,1781531758929,1781532118946,1781531892684,click,INPUT,input-identificacao,form-control,632,234,
User_1781531758929_426,1781531758929,1781532118946,1781531893552,keydown,INPUT,input-identificacao,form-control,,,7
User_1781531758929_426,1781531758929,1781532118946,1781531894792,click,INPUT,input-nascimento,form-control,840,202,
User_1781531758929_426,1781531758929,1781532118946,1781531895516,keydown,INPUT,input-nascimento,form-control,,,1
User_1781531758929_426,1781531758929,1781532118946,1781531895720,keydown,INPUT,input-nascimento,form-control,,,0
User_1781531758929_426,1781531758929,1781532118946,1781531896510,keydown,INPUT,input-nascimento,form-control,,,0
User_1781531758929_426,1781531758929,1781532118946,1781531897052,keydown,INPUT,input-nascimento,form-control,,,4
User_1781531758929_426,1781531758929,1781532118946,1781531897691,keydown,INPUT,input-nascimento,form-control,,,2
User_1781531758929_426,1781531758929,1781532118946,1781531898191,keydown,INPUT,input-nascimento,form-control,,,0
User_1781531758929_426,1781531758929,1781532118946,1781531898353,keydown,INPUT,input-nascimento,form-control,,,0
User_1781531758929_426,1781531758929,1781532118946,1781531898992,keydown,INPUT,input-nascimento,form-control,,,5
User_1781531758929_426,1781531758929,1781532118946,1781531901165,click,INPUT,input-nascimento,form-control,798,215,
User_1781531758929_426,1781531758929,1781532118946,1781531901628,keydown,INPUT,input-nascimento,form-control,,,Backspace
User_1781531758929_426,1781531758929,1781532118946,1781531902247,keydown,INPUT,input-nascimento,form-control,,,3
User_1781531758929_426,1781531758929,1781532118946,1781531903179,click,INPUT,input-nascimento,form-control,907,213,
